,runs,balls,minutes,sixes,strike_rate,batting_position,temp,feels,gust,wind,rain,humidity,cloud,pressure,season_id
runs,1,0.937572799945553,0.934731050412891,0.467780410918711,0.357647383712575,-0.386883811031001,-0.00200523714213,0.005127989799492,0.012183366243035,0.010759107733717,-0.004584085975754,0.011897250654526,0.007829126642903,0.006933885772494,-0.041564375125675
balls,0.937572799945553,1,0.981167413202336,0.304547740491533,0.168898749666191,-0.417606171000921,0.00648896505054,0.01198798833099,0.008792037029342,0.008860932178873,-0.009730276932069,-0.000848131349678,0.004695423535117,0.004237233000234,-0.059817707039494
minutes,0.934731050412891,0.981167413202336,1,0.306007206477591,0.184914172248169,-0.421946857537047,0.033001382290294,0.042904002975261,0.003252613855573,0.00242700752892,-0.000668567071278,0.002982356081956,-0.000765752019578,-0.010594545201416,-0.047099626495577
sixes,0.467780410918711,0.304547740491533,0.306007206477591,1,0.37689964967509,-0.053759415710245,-0.030390035133854,-0.032545084653654,0.012008383482105,0.015369078954859,-0.018606635916777,-0.020634517386924,-0.029278873098675,0.033521585762763,0.06400624098251
strike_rate,0.357647383712575,0.168898749666191,0.184914172248169,0.37689964967509,1,-0.042522286831482,-0.01407477586443,-0.002433986061899,-0.011179940935426,-0.011957595871422,0.039440390161661,0.065221727078412,0.032797528163746,0.011462541763509,-0.000373111006161
batting_position,-0.386883811031001,-0.417606171000921,-0.421946857537047,-0.053759415710245,-0.042522286831482,1,0.000289430144954,-0.007749315065532,0.008015340501022,0.013291670736141,-0.03154733812502,-0.030428488349283,-0.025458014443052,0.003634932445214,0.056921472424803
temp,-0.00200523714213,0.00648896505054,0.033001382290294,-0.030390035133854,-0.01407477586443,0.000289430144954,1,0.972033121476735,-0.123154961832392,-0.129089691980978,0.121561931130614,-0.261794846556966,-0.321433870686727,-0.514864280530581,0.043688075432324
feels,0.005127989799492,0.01198798833099,0.042904002975261,-0.032545084653654,-0.002433986061899,-0.007749315065532,0.972033121476735,1,-0.095202365920906,-0.111002076597808,0.196079182968715,-0.085783322731274,-0.241951054886363,-0.545075930514749,0.049499683119655
gust,0.012183366243035,0.008792037029342,0.003252613855573,0.012008383482105,-0.011179940935426,0.008015340501022,-0.123154961832392,-0.095202365920906,1,0.961220234616323,-0.242268005858125,0.075350578711067,-0.009899962050737,0.00055182868045,0.061937328343365
wind,0.010759107733717,0.008860932178873,0.00242700752892,0.015369078954859,-0.011957595871422,0.013291670736141,-0.129089691980978,-0.111002076597808,0.961220234616323,1,-0.265974568472657,0.016424186552479,-0.006945182087865,0.027451592540428,0.126242201582146
rain,-0.004584085975754,-0.009730276932069,-0.000668567071278,-0.018606635916777,0.039440390161661,-0.03154733812502,0.121561931130614,0.196079182968715,-0.242268005858125,-0.265974568472657,1,0.39906015273218,0.264735263656016,-0.233849166257728,-0.117468773661701
humidity,0.011897250654526,-0.000848131349678,0.002982356081956,-0.020634517386924,0.065221727078412,-0.030428488349283,-0.261794846556966,-0.085783322731274,0.075350578711067,0.016424186552479,0.39906015273218,1,0.483738562172074,-0.124372486994139,-0.080346017916218
cloud,0.007829126642903,0.004695423535117,-0.000765752019578,-0.029278873098675,0.032797528163746,-0.025458014443052,-0.321433870686727,-0.241951054886363,-0.009899962050737,-0.006945182087865,0.264735263656016,0.483738562172074,1,0.026721858567631,0.00797464458589
pressure,0.006933885772494,0.004237233000234,-0.010594545201416,0.033521585762763,0.011462541763509,0.003634932445214,-0.514864280530581,-0.545075930514749,0.00055182868045,0.027451592540428,-0.233849166257728,-0.124372486994139,0.026721858567631,1,-0.03761496719237
season_id,-0.041564375125675,-0.059817707039494,-0.047099626495577,0.06400624098251,-0.000373111006161,0.056921472424803,0.043688075432324,0.049499683119655,0.061937328343365,0.126242201582146,-0.117468773661701,-0.080346017916218,0.00797464458589,-0.03761496719237,1
