batting_consistency,1.91E-03
batting_form,3.10E-03
batting_temp,3.18E-02
batting_wind,3.57E-02
batting_rain,1.67E-02
batting_humidity,3.97E-02
batting_cloud,3.86E-02
batting_pressure,3.45E-02
batting_viscosity,1.31E-02
batting_inning,3.84E-02
batting_session,1.53E-02
toss,7.09E-03
venue,8.20E-03
opposition,3.84E-03
season,3.76E-02
runs_scored,2.33E-03
balls_faced,2.40E-02
fours_scored,1.36E-03
sixes_scored,2.18E-04
batting_position,4.30E-03
batting_contribution,5.10E-03
strike_rate,4.57E-03
total_score,9.06E-02
total_wickets,2.23E-01
total_balls,4.90E-02
target,6.82E-02
extras,6.29E-02
match_number,5.48E-02
bowling_consistency,1.89E-03
bowling_form,2.08E-03
bowling_temp,7.65E-03
bowling_wind,7.01E-03
bowling_rain,2.38E-03
bowling_humidity,1.04E-02
bowling_cloud,1.02E-02
bowling_pressure,7.03E-03
bowling_viscosity,1.03E-03
bowling_session,2.27E-03
bowling_venue,2.15E-03
bowling_opposition,4.05E-03
runs_conceded,2.75E-03
deliveries,2.26E-03
wickets_taken,6.11E-03
bowling_contribution,9.12E-03
econ,5.67E-03
