batting_consistency,batting_form,batting_temp,batting_wind,batting_rain,batting_humidity,batting_cloud,batting_pressure,batting_viscosity,batting_inning,batting_session,toss,venue,opposition,season,runs_scored,balls_faced,fours_scored,sixes_scored,batting_position,strike_rate,bowling_consistency,bowling_form,bowling_temp,bowling_wind,bowling_rain,bowling_humidity,bowling_cloud,bowling_pressure,bowling_viscosity,bowling_session,bowling_venue,bowling_opposition,runs_conceded,deliveries,wickets_taken,econ,total_score,total_wickets,total_balls,target,extras,match_number,bowling_contribution,batting_contribution,winning_probability,player_name
75.4504,36.1573,27,13,0,86,23,1010,4,2,2,0,44.097,49.4372,20,44.512893269888664,50.55309898523625,4.447494816565101,2.4245282937692685,4.917517299054983,88.0517597603431,354.802,354.802,28.0,15.0,0.0,77.0,44.0,1008.0,4.0,1.0,61.955,23.0954,47.540665383840604,68.78885921907354,0.8944527558199347,4.146659728643271,214.30662254462635,7,255.13730657347114,214.30662254462635,14,1193505,0.22183479362118605,0.20770656894011513,0.45,Angelo Mathews
26.6919,26.6919,27,13,0,86,23,1010,4,2,2,0,27.4188,25.91,20,17.89503552220652,21.601158440497073,1.5358651066630742,0.32276223900662976,6.114825039063955,82.84294368517547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.30662254462635,7,255.13730657347114,214.30662254462635,14,1193505,0.0,0.08350201832180958,0.67,Dimuth Karunaratne
12.3153,17.6595,27,13,0,86,23,1010,4,2,2,0,7.18013,0.6714,20,2.2625561280661204,7.381012513989069,0.06146000439701785,0.009722867361429922,9.246778723703232,30.653736513492532,158.92,32.8064,28.0,15.0,0.0,77.0,44.0,1008.0,4.0,1.0,24.9134,18.5291,39.9408493262374,41.13007852917098,1.2473759322782378,5.82651685888368,214.30662254462635,7,255.13730657347114,214.30662254462635,14,1193505,0.18637244548016837,0.01055756514288295,0.45,Nuwan Pradeep
50.1772,30.4913,27,13,0,86,23,1010,4,2,2,0,35.2199,32.5809,20,38.58759079737331,42.39806787589773,3.6384294935804906,0.5216903614128308,2.6093617514158995,91.01261621242277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.30662254462635,7,255.13730657347114,214.30662254462635,14,1193505,0.0,0.18005785513855496,0.69,Kusal Perera
42.0114,14.2087,27,13,0,86,23,1010,4,2,2,0,39.8244,34.154,20,40.796915227614384,42.574896936790985,3.646651586966949,3.3782918873850747,2.6221131480639444,95.8238731339355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.30662254462635,7,255.13730657347114,214.30662254462635,14,1193505,0.0,0.19036702992750026,0.69,Kusal Mendis
31.1971,24.7374,27,13,0,86,23,1010,4,2,2,0,24.0505,15.6412,20,15.523506210446428,18.934880554245172,1.2541431447684404,0.27561714353137623,7.1589092364635505,81.98365004719336,92.2034,20.839,28.0,15.0,0.0,77.0,44.0,1008.0,4.0,1.0,24.9738,21.9744,40.253006281297445,40.27268881834447,1.0661861624260072,5.997067610190746,214.30662254462635,7,255.13730657347114,214.30662254462635,14,1193505,0.18782903581486532,0.07243596126953042,0.45,Dhananjaya de Silva
28.35,22.4449,27,13,0,86,23,1010,4,2,2,0,27.382,24.6924,20,17.89503552220652,21.48790327698589,1.5358651066630742,0.32276223900662976,5.985932716232407,83.27957963852423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.30662254462635,7,255.13730657347114,214.30662254462635,14,1193505,0.0,0.08350201832180958,0.67,Avishka Fernando
9.00736,12.6159,27,13,0,86,23,1010,4,2,2,0,9.00736,0.2238,20,4.922751055682618,10.890859606506245,0.13958480132016246,0.009722867361429922,9.135684405124321,45.20075764030368,52.6447,18.5565,28.0,15.0,0.0,77.0,44.0,1008.0,4.0,1.0,19.6481,26.3492,39.738737418699586,39.21604971259898,0.9836885005020692,6.0799704778932915,214.30662254462635,7,255.13730657347114,214.30662254462635,14,1193505,0.18542934859805627,0.022970596975637206,0.45,Lahiru Kumara
22.8727,20.1611,27,13,0,86,23,1010,4,2,2,0,22.8542,14.6339,20,15.401550061080206,18.81450348418148,1.2541431447684404,0.2696616216163088,8.53737461465695,81.85998675983794,140.869,24.6319,28.0,15.0,0.0,77.0,44.0,1008.0,4.0,1.0,25.2212,24.9356,40.509289534862376,40.769399913912714,1.1332232430352984,5.961719763410855,214.30662254462635,7,255.13730657347114,214.30662254462635,14,1193505,0.18902490764804472,0.07186688809802436,0.45,Akila Dananjaya
22.7797,36.675,27,13,0,86,23,1010,4,2,2,0,22.7797,22.7797,20,16.508788750061594,20.50092489914125,1.3819507982463912,0.2503958329724075,6.228176077279691,80.52704368841974,62.0616,22.1548,28.0,15.0,0.0,77.0,44.0,1008.0,4.0,1.0,21.1532,13.5422,38.941058472207544,39.40689635781565,1.1417431603610366,5.929072635198933,214.30662254462635,7,255.13730657347114,214.30662254462635,14,1193505,0.1817072100237995,0.07703349786413563,0.45,Isuru Udana
